trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.1, 'e': 0.6249999999999997}",25,0,-117.08497734356956,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
76,False,"{'a': 0.1, 'e': 0.6199999999999997}",25,3,-149.0487257594001,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 3}",1
77,False,"{'a': 0.1, 'e': 0.6149999999999997}",20,0,-17.705768743096545,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.6099999999999997}",20,13,9.46970663640099,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.6049999999999996}",25,10,-90.75466156647624,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 2}",1
80,False,"{'a': 0.1, 'e': 0.5999999999999996}",30,11,-32.63533612102374,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.5949999999999996}",25,1,15.202747679075895,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.5899999999999996}",25,5,-30.216687420653777,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.5849999999999996}",20,0,-14.125035189136835,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.5799999999999996}",20,0,-141.40093293940666,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
85,False,"{'a': 0.1, 'e': 0.5749999999999996}",20,0,4.537020728929895,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.5699999999999996}",30,10,-7.6663725443541715,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.5649999999999996}",25,0,-36.01948456642188,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.5599999999999996}",25,0,-55.5567246646693,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.1, 'e': 0.5549999999999996}",25,0,-50.98583272873135,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.1, 'e': 0.5499999999999996}",25,0,-100.37536156166568,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.5449999999999996}",20,2,-55.970294635526976,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.5399999999999996}",20,15,2.3638464141561037,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.5349999999999996}",20,0,-19.036629854189894,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.5299999999999996}",25,0,-17.21677790099985,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.5249999999999996}",20,15,-15.227370070340404,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.5199999999999996}",30,2,-79.65234822533479,"{0: 23, 1: 0, 2: 1, 3: 3, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.5149999999999996}",20,9,-3.0279048324949875,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.5099999999999996}",25,2,-90.51625871096789,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
99,False,"{'a': 0.1, 'e': 0.5049999999999996}",20,0,3.657168840060711,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.49999999999999956}",20,0,-67.70890756817468,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.1, 'e': 0.49499999999999955}",20,0,-0.8812181613872603,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.1, 'e': 0.48999999999999955}",30,12,-65.31610793376413,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.1, 'e': 0.48499999999999954}",20,9,-1.441577591073946,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.47999999999999954}",20,0,-58.194447593130256,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
